#此文档用于生成虚拟的手机号
#主要用于特殊通道的，省份信息转换
#前三个字段为必须且位置不变，其它字段为备注

#city,province,phoneCode
179,3,1347073,芜湖
272,29,1340953,吴忠
54,10,1344483,梧州
162,4,1340710,武汉
56,11,1471712,武威
312,20,1476581,西安
314,27,1351970,西宁
251,30,1473676,西双版纳
256,30,1786985,西双版纳傣族自治州
195,14,1844720,锡林郭勒
74,14,1780479,锡林郭勒盟
357,14,1347474,锡林浩特
167,4,1345108,咸宁
114,20,1340293,咸阳
351,25,1840743,湘西
185,25,1787777,湘西土家族苗族自治州
294,4,1344672,襄樊
150,4,1882748,襄阳
19,4,1342992,孝感
202,24,1340350,忻州
284,26,1340373,新乡
377,23,1340790,新余
267,26,1340376,信阳
40,17,1340014,邢台
389,14,1844730,兴安
172,14,1780061,兴安盟
135,28,1350859,兴义
291,2,1340186,宿迁
21,3,1347071,宿州
10,2,1340127,徐州
400,26,1340374,许昌
205,3,1344066,宣城
77,19,1340405,雅安
235,6,1340535,烟台
211,20,1340290,延安
112,12,1780433,延边朝鲜族自治州
221,12,1350091,延吉
88,2,1340125,盐城
13,2,1340129,扬州
146,8,1341130,阳江
143,24,1340353,阳泉
84,16,1350457,伊春
43,15,1479990,伊犁
144,15,1780992,伊犁哈萨克自治州
296,19,1340821,宜宾
47,4,1346981,宜昌
376,23,1340705,宜春
237,25,1340737,益阳
14,29,1340950,银川
125,23,1340701,鹰潭
73,13,1346439,营口
124,25,1340746,永州
293,20,1340292,榆林
354,10,1344583,玉林
394,27,1361976,玉树
209,27,1780077,玉树藏族自治州
288,30,1350877,玉溪
27,25,1340730,岳阳
57,8,1341170,云浮
358,24,1340348,运城
108,6,1340632,枣庄
286,8,1341360,湛江
224,25,1340744,张家界
136,17,1340013,张家口
169,11,1351906,张掖
331,21,1340090,漳州
80,12,1340430,长春
283,25,1340731,长沙
349,24,1340355,长治
46,30,1340880,昭通
330,8,1341380,肇庆
198,2,1340008,镇江
372,26,1340371,郑州
212,8,1341160,中山
157,29,1340955,中卫
317,18,1343600,重庆
315,9,1345405,舟山
126,26,1340385,周口
299,8,1341135,珠海
39,26,1340396,驻马店
5,19,1340822,资阳
9,6,1340533,淄博
161,19,1340230,自贡
231,28,1350851,遵义
